iteration,time_s,timestamp_us,gt_z0,pred_z0,normalized_error_z0,gt_z1,pred_z1,normalized_error_z1,gt_z2,pred_z2,normalized_error_z2,gt_z3,pred_z3,normalized_error_z3,gt_z4,pred_z4,normalized_error_z4,gt_z5,pred_z5,normalized_error_z5,gt_z6,pred_z6,normalized_error_z6,gt_z7,pred_z7,normalized_error_z7,skill_rmse,oracle_ADE,oracle_FDE,prediction_ADE,prediction_FDE
0,0.0,1629220961400026,-0.37093607,-0.41987336,-0.049776122,-0.37491047,-0.39231637,-0.01783702,-1.4898288,-1.6080501,-0.13531357,0.39901608,0.41522115,0.015176809,0.0522093,0.0109686935,-0.035752922,-1.3668644,-1.580605,-0.24114412,-0.83865124,-1.0137434,-0.14478761,0.77313095,0.818387,0.037914585,0.11355926096439362,0.131979301571846,0.18882238864898682,0.1339978277683258,0.1482696533203125
1,0.099929,1629220961499955,-0.35150912,-0.43422925,-0.08413803,-0.35710227,-0.39934376,-0.04328775,-1.455514,-1.6577407,-0.23146445,0.42715696,0.40628654,-0.019546123,0.14188747,0.073920615,-0.058922842,-1.4432886,-1.5713387,-0.14446731,-0.80696434,-0.9695308,-0.13442984,0.88665265,0.85166234,-0.029314183,0.11520866304636002,0.11241406947374344,0.19597306847572327,0.164125457406044,0.490389347076416
2,0.199864,1629220961599890,-0.32907245,-0.42605865,-0.09864864,-0.33247387,-0.3997431,-0.06893541,-1.4233583,-1.6984706,-0.31488767,0.4498298,0.41475528,-0.032848913,0.21878657,0.17289163,-0.039787922,-1.5234218,-1.5685191,-0.05087925,-0.78600645,-0.92257166,-0.112928815,0.990036,0.9349243,-0.046171483,0.12931233644485474,0.0991344004869461,0.22345559298992157,0.24084554612636566,0.6845335960388184
3,0.299801,1629220961699827,-0.30767527,-0.41318762,-0.107320935,-0.30905703,-0.39701906,-0.09014074,-1.3969535,-1.7741418,-0.43172175,0.47421172,0.42606747,-0.045089345,0.2734923,0.2851293,0.010088524,-1.5890696,-1.56108,0.031578157,-0.7762033,-0.8772236,-0.08353597,1.0806061,1.0396721,-0.03429366,0.16481547057628632,0.08775589615106583,0.27910134196281433,0.3016807734966278,0.8347482085227966
4,0.39974,1629220961799766,-0.28686985,-0.471609,-0.18790574,-0.28991368,-0.44131985,-0.1551563,-1.3791077,-1.7540437,-0.42914376,0.50232744,0.37531787,-0.11895041,0.30019885,0.3181132,0.01553058,-1.6324422,-1.5192734,0.12767814,-0.78029144,-0.8139322,-0.02781828,1.1608061,0.9464441,-0.17958817,0.19597968459129333,0.08752644807100296,0.3216664791107178,0.6332896947860718,1.571263313293457
5,0.499673,1629220961899699,-0.2674015,-0.531875,-0.26900685,-0.27471143,-0.4938387,-0.22455476,-1.3722309,-1.693611,-0.36784488,0.53079706,0.32851636,-0.18944535,0.29844254,0.31316268,0.012761405,-1.6590064,-1.3759599,0.31933567,-0.7977217,-0.7574848,0.03327278,1.2205542,0.764128,-0.38238475,0.2606367766857147,0.09876769036054611,0.3498684763908386,0.9709348678588867,2.4172089099884033
6,0.599602,1629220961999628,-0.2490153,-0.60669065,-0.36380625,-0.26299807,-0.57039756,-0.31501338,-1.3744428,-1.5106704,-0.15592323,0.56307214,0.21378307,-0.32712558,0.27229536,0.3899907,0.102034196,-1.6690264,-1.2693007,0.45097423,-0.82630086,-0.5892738,0.19600295,1.266688,0.55179495,-0.5989231,0.3488958179950714,0.11679618805646896,0.3760613203048706,1.4978899955749512,3.5712127685546875
7,0.699546,1629220962099572,-0.22945365,-0.59621155,-0.37304446,-0.25179538,-0.56414217,-0.3200832,-1.3754292,-1.5998492,-0.25686646,0.6007834,0.23440216,-0.34313318,0.22026266,0.3638692,0.12449752,-1.6694779,-1.234268,0.49100795,-0.8677469,-0.63349485,0.19370823,1.3036591,0.5531221,-0.62878484,0.37329912185668945,0.1388862431049347,0.407113254070282,1.551987886428833,3.7220523357391357
8,0.799516,1629220962199542,-0.21035546,-0.62518096,-0.421936,-0.23922466,-0.589855,-0.359315,-1.3787159,-1.5198884,-0.16158308,0.64158505,0.19388042,-0.41929635,0.14717358,0.39705014,0.21662672,-1.6619024,-1.1861621,0.53673464,-0.91887957,-0.5732291,0.2858261,1.3324751,0.46515507,-0.72662336,0.4262841045856476,0.1640014946460724,0.4491773545742035,1.8797112703323364,4.363592624664307
9,0.89951,1629220962299536,-0.19299945,-0.6311395,-0.4456502,-0.22593531,-0.5972827,-0.3805452,-1.3839918,-1.5140226,-0.14883043,0.6849265,0.18209063,-0.47092935,0.052651662,0.3975649,0.2990173,-1.6414931,-1.1464964,0.5584599,-0.980471,-0.5661385,0.3426208,1.3517925,0.4178533,-0.78243554,0.4634418785572052,0.18346668779850006,0.4975041151046753,2.086498975753784,4.751410007476807
